state,act_prt_mean,sat_prt_mean,act_ave,sat_ave,inc_cap,"cat_inc_<$41,000","cat_inc_>$51,000","cat_inc_\$41,000-$45,000","cat_inc_\$45,000-$51,000",act_ave_prctdiff,inc_prctdiff
Alabama,1.0,0.055,19.15,1165.5,38965.0,1,0,0,0,-10.93023255813954,-16.970316861642054
Alaska,0.49,0.405,20.3,1093.0,55940.0,0,1,0,0,-5.581395348837206,19.201346715250697
Arizona,0.64,0.295,19.45,1132.5,39060.0,1,0,0,0,-9.534883720930235,-16.76788339832513
Arkansas,1.0,0.04,19.4,1188.5,39107.0,1,0,0,0,-9.767441860465123,-16.667732105947284
California,0.29000000000000004,0.565,22.75,1065.5,52651.0,0,1,0,0,5.813953488372093,12.192887127362612
Colorado,0.65,0.555,22.35,1113.0,50410.0,0,0,0,1,3.9534883720930303,7.417588271644399
Connecticut,0.28500000000000003,1.0,25.4,1047.0,66972.0,0,1,0,0,18.139534883720923,42.70919900274883
Delaware,0.175,1.0,23.950000000000003,997.0,47662.0,0,0,0,1,11.395348837209315,1.5619339853821732
District of Columbia,0.32,0.96,23.9,963.5,71496.0,0,1,0,0,11.162790697674412,52.349293613756956
Florida,0.6950000000000001,0.6950000000000001,19.85,1058.0,44101.0,0,0,1,0,-7.674418604651157,-6.02612457116069
Georgia,0.54,0.655,21.4,1057.0,40551.0,1,0,0,0,-0.46511627906977404,-13.590743463530014
Hawaii,0.895,0.555,18.95,1047.5,47753.0,0,0,0,1,-11.860465116279073,1.7558439344541754
Idaho,0.37,0.9650000000000001,22.3,1003.0,37509.0,1,0,0,0,3.720930232558143,-20.072876046794093
Illinois,0.68,0.54,22.65,1067.0,49471.0,0,0,0,1,5.348837209302319,5.416693302648682
Indiana,0.33499999999999996,0.63,22.55,1074.0,40998.0,1,0,0,0,4.8837209302325615,-12.638240746659848
Iowa,0.675,0.025,21.85,1270.0,44971.0,0,0,1,0,1.6279069767441927,-4.172260222889897
Kansas,0.72,0.04,21.65,1262.5,45876.0,0,0,0,1,0.6976744186046445,-2.2438151249760274
Kentucky,1.0,0.04,20.1,1247.5,38989.0,1,0,0,0,-6.511627906976737,-16.919175776172516
Louisiana,1.0,0.04,19.35,1204.0,43252.0,0,0,1,0,-9.999999999999993,-7.835240469645635
Maine,0.07500000000000001,0.97,24.15,1012.5,42077.0,0,0,1,0,12.32558139534883,-10.339022779091819
Maryland,0.29500000000000004,0.725,23.05,1070.0,56127.0,0,1,0,0,7.209302325581398,19.599821006200855
Massachusetts,0.27,0.78,25.45,1116.0,61032.0,0,1,0,0,18.37209302325581,30.05178034903791
